name,rating,ratingNeeded,bid
Bob22,3,5,609
Bob59,5,7,1
Bob59,5,7,189
Bob59,5,7,422
Bob142,6,8,702
Bob142,6,9,862
Bob165,5,7,696
Bob165,5,10,767
Bob194,3,7,1
Bob194,3,9,488
Bob194,3,6,775
Bob433,5,6,104
Bob433,5,6,537
Bob433,5,10,666
Bob508,2,10,706
Bob537,5,9,698
Bob537,5,10,835
Bob692,4,8,208
Bob692,4,5,623
Bob692,4,10,755
Bob800,2,9,9
Bob800,2,8,940
Bob845,8,10,317
Bob845,8,10,994
Bob866,1,10,23
Bob866,1,5,452
Bob866,1,8,644
Bob866,1,2,877
Bob866,1,7,954
Bob1017,7,8,26
Bob1017,7,8,109
Bob1017,7,9,304
Bob1025,7,9,497
Bob1025,7,10,772
Bob1025,7,10,800
Bob1164,4,9,878
Bob1207,7,10,216
Bob1207,7,9,520
Bob1207,7,9,740
Bob1416,7,8,58
Bob1452,2,7,559
Bob1452,2,4,567
Bob1452,2,3,797
Bob1452,2,5,844
Bob1587,8,10,409
Bob1587,8,10,507
Bob1726,7,10,772
Bob1835,5,9,671
